name,line,stations,platform
southbound,P,P01.08,1
northbound,P,P08.01,2
westbound,I,I01.12,1
eastbound,I,I12.01,2
clockwise,EI,"EI01.06, EI02.01",1
anticlockwise,EI,"EI01.02, EI06.01",2
clockwise,LI,"LI01.06, LI01",1
anticlockwise,LI,"LI06.01, LI06",2
clockwise,ES,"ES01.09, ES01",1
anticlockwise,ES,"ES09.01, ES09",2
clockwise,CS,"CS01.08, CS01",1
anticlockwise,CS,"CS08.01, CS08",2
clockwise,WS,"WS01.06, WS01",1
anticlockwise,WS,"WS06.01, WS06",2
clockwise,BI,"BI01.05, BI01",1
anticlockwise,BI,"BI05.01, BI05",2
clockwise,PI,"PI01.04, PI01",1
anticlockwise,PI,"PI04.01, PI04",2
clockwise,B,"B01.23, B01",1
anticlockwise,B,"B23.01, B23",2
southbound,C,C01.12,1
northbound,C,C12.01,2
southbound,5B,5B01.14,1
northbound,5B,5B14.01,2
west clockwise,FV,"FV01.05, FV01",1
west anticlockwise,FV,"FV05.01, FV05",2
east clockwise,FV,"FV01, FV06.08, FV02.01",1
east anticlockwise,FV,"FV08.06, FV01.02, FV01",2
southbound,A,A01.17,1
northbound,A,A17.01,2
branch eastbound,A,"A04, A41.43",1
branch westbound,A,"A43.41, A04",2
