Line,Number,Station
C,01,north coast
B,17,briar rose heights
EI,01,briar rose heights
EI,02,robin cross
EI,03,applegate hills
EI,04,beechwood park
EI,05,ivy hill
EI,06,florence heights
WS,01,butler heights
WS,02,moore park
WS,03,sunset park
WS,04,concord hills
WS,05,pleasant park
WS,06,madison park
CS,01,cozy heights
CS,02,underhill grove
CS,03,cherry heights
CS,04,green square
CS,05,holly square
CS,06,mulberry park
CS,07,maple park
CS,08,amity heights
ES,01,brook park
ES,02,olive heights
ES,03,smith park
ES,04,poplar heights
B,13,dale hills
ES,05,dale hills
ES,06,victoria heights
ES,07,chestnut park
ES,08,briarwood district
ES,09,sheffield hills
LI,01,belmont district
B,16,birch park
LI,02,birch park
B,15,spruce district
LI,03,spruce district
B,14,poplar square
LI,04,poplar square
LI,05,thornton park
LI,06,moore square
C,12,south coast
B,02,oriental heights
C,02,oriental heights
P,01,oriental heights
C,03,sycamore district
P,02,sycamore district
B,03,hickory park
P,03,hickory park
C,04,beechwood heights
P,04,beechwood heights
B,04,elk hills
P,05,elk hills
C,05,garland square
P,06,garland square
B,05,green park
P,07,green park
C,06,briarwood heights
P,08,briarwood heights
B,06,briarwood heights
B,07,oak island
C,07,oak island
I,06,oak island
B,08,maple island
C,08,maple island
I,07,maple island
B,09,elizabeth district
C,09,elizabeth district
I,08,elizabeth district
BI,01,elizabeth district
C,10,prospect square
BI,02,prospect square
C,11,autumn hills
BI,03,autumn hills
I,09,sycamore heights
BI,04,sycamore heights
BI,05,elm heights
PI,01,pointer park
I,10,knuckle hills
PI,02,knuckle hills
PI,03,thumb district
I,11,finger park
PI,04,finger park
B,01,crest park
B,10,fairview square
B,11,high park
B,12,smith square
B,18,dean hills
B,19,heather heights
B,20,kent ridge
B,21,emerson hills
B,22,woodland square
B,23,broad park
5B,01,fairview square
5B,02,myrtle district
5B,03,cypress square
5B,04,linden park
5B,05,holly park
5B,06,orchard hills
5B,07,primrose park
5B,08,cherry hills
5B,09,summit valley
5B,10,meadow hills
5B,11,crescent hills
5B,12,empire district
5B,13,fawn park
5B,14,south coast
FV,01,pine hills
FV,02,myrtle district
FV,03,cypress square
FV,04,hawthorne heights
FV,05,barlow heights
FV,08,fairview square
FV,07,high park
FV,06,smith square
I,01,hickory park
I,02,woodland square
I,03,north sunset island
I,04,south sunset island
I,05,bridge island
A,01,elk hills
A,02,south sunset island
A,03,briar rose heights
A,04,belmont district
A,05,brook park
A,06,sheffield hills
A,07,cozy heights
A,08,maple park
A,09,mulberry park
A,10,moore park
A,11,sunset park
A,12,magnolia district
A,13,holly park
A,14,pointer park
A,15,knuckle hills
A,16,thumb district
A,17,empire district
A,41,birch park
A,42,bridge island
A,43,green park
I,12,summit valley
HH,01,magnolia district
HH,02,chester square
HH,03,linden park
HH,04,holly park
HH,05,orchard hills
HH,06,mulberry district
HH,07,thomson hills
